rank,title,rating,rating_count,release_info,summary,url
1,欢迎再次登录,,,2026-08-13(中国大陆网络) / 贾静雯 / 白客 / 曹丹妮 / 孙美林 / 王乐夫 / 李嘉琪 / 李雨晴 / 中国大陆 / 洪亮 / 96分钟 / 犯罪 / 悬疑 / 洪亮 Hong Liang / 何闽强 / 常智荣 / 宇敏 Min Yu / 梧桐 Wutong / 汉语普通话,两个未知身份的男女，一场密闭空间下的网络直播审判，一次死亡与真相之间的极限逃生……,https://movie.douban.com/subject/36251766/
2,激情邀约,7.4,11400人评价,2026-01-24(圣丹斯电影节) / 2026-06-26(美国) / 塞斯·罗根 / 奥利维亚·王尔德 / 佩内洛普·克鲁兹 / 爱德华·诺顿 / 雷切尔·图洛夫 / 马里奥·瓦尔迪兹 / 美国 / 奥利维亚·王尔德 / 107分钟 / 激情邀约 / 剧情 / 喜剧 / 爱情 / 西斯科·盖伊 Cesc...,改编自2020年西班牙电影《多愁善感》。一对结婚多年的夫妇婚姻出了问题，一天碰巧邀请楼上性观念开放的邻居来家做客，这一夜充满意想不到的转折，逐渐揭示他们内心深处压抑的情感和未曾探索过的性取向。,https://movie.douban.com/subject/35801126/
3,最后孤屋,5.4,7943人评价,2026-08-07(美国网络) / 格蕾塔·李 / 瓦格纳·马拉 / 莱莉·钟 / 诺亚·亚历山大·索斯诺夫斯基 / 艾玛·霍 / 加百列·钟 / 赵雅顿 / 奥黛丽·安德森 / 西德·爱德华兹 / 埃芙琳·雷诺兹-柏森 / 英国 / 法国 / 美国 / 路易斯·莱特里尔 / 112分钟...,一个普通的一家四口突遭诡异变故，被困在自家房屋中超过 1000 天无法出门。在资源消耗殆尽与未知神秘威胁的双重逼迫下，一家人必须想方设法联手求生，打破这间禁锢生命的困局。,https://movie.douban.com/subject/36877284/
4,火遮眼,7.6,181617人评价,2025-09-06(多伦多电影节) / 2026-06-11(中国大陆) / 2026-06-12(美国/中国香港) / 谢苗 / 林科灯 / 杨恩又 / 黎唯 / 雅彦·鲁伊安 / 杰佳·亚宁 / 岩永丞威 / 萨哈贾克·波斯安吉特 / 玛娜莎楠·潘叻翁固 / 郭峻卿 / 中国香港 / 中国大陆 / 谷垣健治...,东南亚某处，失语维修工王伟（谢苗 饰）因女儿雨晴（杨恩又 饰）失踪觉醒猎杀本能。他联手寻妻记者纳文（林科灯 饰）组成生死同盟，在连番血战中死斗黑暗组织打手大块头（黎唯 饰）与嗜血杀手阿德（雅彦·鲁伊安 饰）一众人等。怒火遮眼，鲜血开路，从血肉翻飞的街头混战，到拳拳断骨的室内死斗，一场又一场血腥残暴的生死拼杀连番上演，与此同时雨晴也在魔窟中用父亲教的功夫自救。随着二人深入敌营，真相直指背后更庞大的黑恶势力。,https://movie.douban.com/subject/36877245/
5,鬼玩人6：炼狱,6.5,12868人评价,2026-07-08(中国台湾) / 2026-07-10(美国) / 索海拉·雅各布 / 亨特·杜汉 / 卢西安·布坎南 / 坦蒂·莱特 / 埃罗尔·尚德 / 乔治·普拉尔 / 维克托里·恩杜克韦 / 莫德·戴维 / 基努·卡里姆 / 塔皮瓦·索罗帕 / 新西兰 / 美国 / 塞巴斯蒂安·瓦尼契克...,爱丽丝在丈夫骤然离世后深陷悲痛，受邀前往公婆的乡间庄园暂住，试图和丈夫的家人互相慰藉，一同走出丧亲的阴霾。可入住没多久，诡异状况便接连爆发，庄园里怪事频发，身边的亲人举止日渐反常。很快，恶灵诅咒席卷整座宅邸，身边的人一个接一个被侵蚀异化，变成面目焦黑、嗜血狂暴的死徒。她逐渐发现，当年婚礼上许下的婚姻誓言并未随丈夫的死亡消散，反而成了缠绕整个家族的恶灵契约。被困在庄园里的她，必须在亲人彻底沦陷前，在遍地死徒的绝境里拼杀求生。,https://movie.douban.com/subject/36767846/
6,消失的人,7.0,147502人评价,2026-05-01(中国大陆) / 郑恺 / 刘浩存 / 邱泽 / 李晨 / 姜妍 / 黄小蕾 / 李梦 / 张琪 / 毕雯珺 / 冯兵 / 中国大陆 / 程伟豪 / 140分钟 / 犯罪 / 悬疑 / 惊悚 / 程伟豪 Wei-hao Cheng / 汉语普通话,一个寻常的清晨，唐宇（郑恺 饰）的儿子在楼梯间凭空消失；隔壁单元里，独居女孩林雨彤（刘浩存 饰）在熟睡中被人侵犯；赌鬼租客严午（邱泽 饰）满身血污，谎编踪迹藏匿尸体。这栋看似平静、不起眼的居民楼里，每个擦肩而过的“熟人”，都有可能是藏着獠牙的恶鬼。当人心比鬼更可怕时，你每天出入的家门，都可能是通往地狱的入口……本片改编自豆瓣阅读连载小说《海葵》，作者贝客邦。,https://movie.douban.com/subject/36965301/
7,利未记,7.0,11070人评价,2026-01-23(圣丹斯电影节) / 2026-06-19(美国) / 史泰西·克劳森 / 乔·伯德 / 提亚拉·布洛克 / 伊文·莱斯利 / 米娅·华希科沃斯卡 / 杰瑞米·布莱维特 / 黛维达·麦肯齐 / 朱莉娅·格蕾丝 / Hyu Motoki / 埃德温娜·雷恩 / 澳大利亚 / 阿德里安·奇亚雷拉...,父亲过世后，纳伊姆（乔·伯德 饰）与母亲（米娅·华希科沃斯卡 饰）搬到一座保守的宗教小镇，试图展开全新生活。在这里，他结识了俊美少年莱恩（史泰西·克劳森 饰），一段无法见容于世的恋情悄然萌芽。然而，当纳伊姆意外撞见莱恩与牧师之子亨特（杰瑞米·布莱维特 饰）难以启齿的秘密后，他因为心生嫉妒而揭发真相。亨特的父母随即请来驱魔师，企图透过驱逐同性欲望的仪式来“矫正”两人。没想到，这场仪式非但没有带来救赎，反而诱发出诡异的超自然力量。这股力量，会化身成受害者内心最渴望的人，利用最亲密的记忆，以及最深层的欲望逐步近逼，将爱化作最致命的恐惧。随着离奇事件接连发生，亨特惨遭杀害，莱恩也逐渐被这股神秘力量侵蚀。为了拯救挚爱，纳伊姆试图向警方求助，却没人相信他的说词，两人的禁忌恋情更因此曝光。当眼前的人可能是最深爱的人，也可能是最可怕的魔魇，纳伊姆必须在爱与恐惧之间，做出最后的抉择。,https://movie.douban.com/subject/37559942/
8,群体,6.1,35245人评价,2026-05-15(戛纳电影节) / 2026-05-21(韩国) / 全智贤 / 具教焕 / 池昌旭 / 申铉彬 / 金新绿 / 高洙 / 李仲玉 / 李玄均 / 金炯默 / 黄在烈 / 韩国 / 延尚昊 / 122分钟 / 群体 / 动作 / 科幻 / 悬疑 / 惊悚 / 延尚昊 Sang-ho Yeon / 韩语,影片讲述了因不明感染事件而被封锁的建筑内，孤立无援的幸存者们对抗以无法预测形态进化的感染者的故事。,https://movie.douban.com/subject/37096700/
9,寻找艾米丽,7.5,9414人评价,2026-05-22(英国) / 2026-08-28(美国) / 安格瑞·赖斯 / 斯派克·费恩 / 朱莉娅·罗杰斯 / 托比·罗斯韦尔 / 明妮·德里弗 / 艾拉·梅西·珀维斯 / 艾莉·亨利 / 娜迪亚·帕克斯 / 雅莉·托珀尔·玛格丽斯 / 克拉拉·李欧 / 英国 / 艾丽西娅·麦克唐纳...,"影片故事背景设定在曼彻斯特大学，精准捕捉了女权活动、短视频热点等当代年轻人的日常碎片。痴心歌手（斯派克·费恩 饰）鼓起勇气想打给暗恋对象艾米丽，却拿错了号码——阴差阳错联系上焦头烂额的心理学系学生（安格瑞·赖斯 饰）。两人一拍即合组队，在校园与伦敦街头展开""""寻人行动""""，却没 料到这一路乌龙频出、搅动整所大学的风波，也逼着他们直面自己真正在找的是那个人——还是某种不敢承认的期待。",https://movie.douban.com/subject/36912404/
10,我看见两朵一样的云,5.6,52102人评价,2026-06-19(中国大陆) / 王源 / 文淇 / 温茉言 / 闫楠 / 张颂文 / 陈创 / 杨九郎 / 赵子琪 / 赵天爱 / 钎城 / 中国大陆 / 严艺之 / 104分钟 / 爱情 / 科幻 / 严艺之 Linq Yim / 汉语普通话,你有没有在这个世界感到过无比的孤独？有没有怀疑身边的一切是不真实的？阿志（王源 饰）在大家眼里是一个奇怪的年轻人，他的业余生活都在寻找“这个世界是虚拟世界”的证据。直到古灵精怪的女生小一（文淇 饰）的出现，让他几乎放弃了寻找真相的念头。透过阿志和小一被快速点燃的爱情，生活显得如此浪漫而真实。可是，小一究竟是虚拟游戏的NPC、还是现实生活的完美爱人，他们能不能在这个世界上永远幸福地生活在一起？……,https://movie.douban.com/subject/35211447/
