城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-15,雷阵雨转阴,29,22,南风转东南风,<3级,16日（明天）,晴,31,22,北风转北风,<3级,17日（后天）,晴,32,23,东南风转南风,<3级,18日（周二）,雷阵雨,30,22,西风转北风,<3级
上海,2026-08-15,中雨转小雨,29,25,西南风转北风,<3级,16日（明天）,小雨,30,26,北风转东北风,<3级,17日（后天）,小雨转阴,32,26,东北风转东南风,<3级,18日（周二）,小雨转多云,33,26,东南风转东南风,<3级
广州,2026-08-15,雷阵雨转中雨,34,25,无持续风向转无持续风向,<3级,16日（明天）,雷阵雨转中雨,35,25,无持续风向转无持续风向,<3级,17日（后天）,雷阵雨转中雨,35,25,无持续风向转无持续风向,<3级,18日（周二）,雷阵雨,32,25,无持续风向转无持续风向,<3级
深圳,2026-08-15,雷阵雨,32,25,无持续风向转无持续风向,<3级,16日（明天）,雷阵雨转中雨,33,26,无持续风向转无持续风向,<3级,17日（后天）,雷阵雨,33,26,无持续风向转无持续风向,<3级,18日（周二）,雷阵雨,30,26,无持续风向转无持续风向,<3级
成都,2026-08-15,雷阵雨转阵雨,35,26,无持续风向转无持续风向,<3级,16日（明天）,雷阵雨转中雨,34,22,无持续风向转无持续风向,<3级,17日（后天）,阵雨,26,22,无持续风向转无持续风向,<3级,18日（周二）,小雨,26,21,无持续风向转无持续风向,<3级
杭州,2026-08-15,小雨,30,25,西南风转北风,<3级,16日（明天）,多云,31,25,东北风转东北风,<3级,17日（后天）,多云,32,25,东风转东风,<3级,18日（周二）,小雨转阴,32,26,东风转东南风,<3级
武汉,2026-08-15,多云转晴,30,23,北风转西北风,<3级,16日（明天）,多云,33,24,北风转东北风,<3级,17日（后天）,多云,34,26,东北风转东北风,<3级,18日（周二）,阴转晴,34,26,东北风转东北风,<3级
南京,2026-08-15,阴转多云,29,23,东北风转东北风,<3级,16日（明天）,晴,30,23,东北风转东风,<3级,17日（后天）,晴转阴,31,23,东风转东风,<3级,18日（周二）,阴,30,25,东风转东风,3-4级
重庆,2026-08-15,晴,37,29,东风转东风,<3级,16日（明天）,多云,38,30,东南风转东南风,<3级,17日（后天）,多云转中雨,39,28,东北风转北风,<3级,18日（周二）,小雨,36,26,北风转西风,<3级
西安,2026-08-15,多云,30,23,无持续风向转无持续风向,<3级,16日（明天）,阴,30,24,无持续风向转无持续风向,<3级,17日（后天）,中雨,25,23,无持续风向转无持续风向,<3级,18日（周二）,小雨,28,23,无持续风向转无持续风向,<3级
