城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-05-22,小雨转阴,21,17,东风转东南风,<3级,23日（明天）,多云,27,17,南风转东北风,<3级,24日（后天）,多云转阴,28,18,东南风转东南风,<3级,25日（周一）,阴,26,17,东风转东南风,<3级
上海,2026-05-22,阴转小雨,27,21,东南风转东南风,3-4级,23日（明天）,小雨转阴,29,22,东风转东南风,<3级转3-4级,24日（后天）,中雨转小雨,27,23,东风转东南风,3-4级转<3级,25日（周一）,大雨转中雨,28,23,南风转西南风,<3级
广州,2026-05-22,中雨转多云,30,24,无持续风向转无持续风向,<3级,23日（明天）,多云,32,26,无持续风向转无持续风向,<3级,24日（后天）,晴转多云,33,26,南风转无持续风向,3-4级转<3级,25日（周一）,多云,34,26,无持续风向转无持续风向,<3级
深圳,2026-05-22,多云,31,26,南风转无持续风向,3-4级转<3级,23日（明天）,多云,30,26,西南风转无持续风向,3-4级转<3级,24日（后天）,多云,32,26,南风转无持续风向,3-4级转<3级,25日（周一）,多云,32,27,西南风转无持续风向,3-4级转<3级
成都,2026-05-22,多云转小雨,32,22,无持续风向转无持续风向,<3级,23日（明天）,小雨,31,22,无持续风向转无持续风向,<3级,24日（后天）,小雨,32,22,无持续风向转无持续风向,<3级,25日（周一）,多云转阴,29,21,无持续风向转无持续风向,<3级
杭州,2026-05-22,小雨转多云,27,21,东风转西风,<3级,23日（明天）,小雨,32,24,北风转南风,<3级,24日（后天）,中雨转小雨,30,23,东南风转南风,<3级,25日（周一）,中雨转大雨,31,23,东风转南风,<3级
武汉,2026-05-22,小雨,30,23,南风转南风,<3级,23日（明天）,小雨转中雨,31,24,东南风转东南风,<3级,24日（后天）,中雨转大雨,32,25,东风转东风,<3级,25日（周一）,中雨,31,23,西南风转北风,<3级
南京,2026-05-22,小雨,27,21,东风转东南风,3-4级转<3级,23日（明天）,小雨,29,23,东北风转东风,<3级转3-4级,24日（后天）,中雨转大雨,26,24,东南风转东南风,3-4级转<3级,25日（周一）,中雨,26,24,西南风转西南风,<3级
重庆,2026-05-22,多云转小雨,31,23,北风转北风,<3级,23日（明天）,多云转中雨,32,25,东北风转东北风,<3级,24日（后天）,小雨,30,25,西南风转东北风,<3级,25日（周一）,小雨转中雨,32,24,东北风转东北风,<3级
西安,2026-05-22,多云转阴,26,18,无持续风向转无持续风向,<3级,23日（明天）,中雨,26,19,无持续风向转无持续风向,<3级,24日（后天）,小雨,25,18,无持续风向转无持续风向,<3级,25日（周一）,中雨转小雨,24,18,无持续风向转无持续风向,<3级
